hour,total_arrivals,avg_delay_min,median_delay_min,on_time_pct,severely_delayed_pct
0,12195,1.28,0.0,94.71,1.61
1,4588,1.22,0.0,95.16,1.37
2,862,0.81,0.0,96.52,0.46
3,1122,0.47,0.0,98.04,0.0
4,9353,0.29,0.0,99.34,0.17
5,23399,0.6,0.0,98.23,0.28
6,30378,0.75,0.0,97.46,0.43
7,32595,0.89,0.0,97.04,0.56
8,30638,1.17,0.0,94.9,0.58
9,28521,1.31,0.0,94.12,0.94
10,26875,1.29,0.0,93.69,1.02
11,27230,1.42,0.0,93.2,1.19
12,27539,1.44,0.0,93.11,1.62
13,28451,1.37,0.0,93.77,1.24
14,29008,1.73,0.0,91.13,1.82
15,30578,1.78,0.0,91.25,2.2
16,31837,1.82,0.0,90.76,2.11
17,31921,1.95,0.0,89.86,1.96
18,31049,2.1,0.0,88.34,2.54
19,28235,1.9,0.0,90.25,2.16
20,25700,1.63,0.0,91.6,1.7
21,18837,1.35,0.0,93.59,0.94
22,10304,1.16,0.0,94.85,0.95
23,8785,1.22,0.0,94.66,1.12
