station,state,category,total_arrivals,avg_delay_min,median_delay_min,on_time_pct,severely_delayed_pct
Sangerhausen,Sachsen-Anhalt,4,101,8.39,2.0,57.43,17.82
Lutherstadt Eisleben,Sachsen-Anhalt,5,103,7.13,0.0,67.96,17.48
Niebüll,Schleswig-Holstein,3,113,6.42,3.0,67.26,12.39
Röblingen am See,Sachsen-Anhalt,5,141,5.96,0.0,73.76,14.89
Sonthofen,Bayern,4,132,5.56,4.0,70.45,5.3
Memmingen,Bayern,3,180,5.29,4.0,61.67,7.22
Münster (Westf) Hbf,Nordrhein-Westfalen,2,173,5.27,2.0,79.77,8.67
Siegen-Weidenau,Nordrhein-Westfalen,4,212,5.23,0.0,79.25,11.79
Regensburg Hbf,Bayern,2,126,5.21,3.0,61.9,6.35
Kreuztal,Nordrhein-Westfalen,4,206,5.18,0.0,80.1,11.65
Hochneukirch,Nordrhein-Westfalen,5,127,5.08,1.0,71.65,11.81
Langenselbold,Hessen,4,133,4.91,0.0,84.21,8.27
Fischen,Bayern,5,129,4.9,2.0,74.42,6.98
Morsum (Sylt),Schleswig-Holstein,5,108,4.74,3.0,78.7,7.41
Bönen,Nordrhein-Westfalen,5,130,4.7,0.0,72.31,10.0
Stuttgart Hbf,Baden-Württemberg,1,151,4.67,3.0,72.19,7.28
Bramsche,Niedersachsen,5,159,4.66,1.0,70.44,9.43
Finnentrop,Nordrhein-Westfalen,3,136,4.49,1.0,82.35,9.56
Weiler (Rems),Baden-Württemberg,5,199,4.48,2.0,75.38,8.54
Stommeln,Nordrhein-Westfalen,5,146,4.45,2.0,73.29,6.85
